"Yr","Player","PlayerID","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
2021,"Mo Bamba","bambamo01","C",22,"ORL",46,725,19.3,0.556,0.392,0.219,10.5,28,19,8.1,0.9,7.3,9.8,21.8,0.7,1.1,1.8,0.117,0.1,-0.1,0,0.4
2021,"Desmond Bane","banede01","SG",22,"MEM",68,1519,12.2,0.6,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,0.093,-0.7,-0.3,-1,0.4
2021,"Harrison Barnes","barneha02","PF",28,"SAC",58,2102,15.4,0.626,0.399,0.366,3.3,17.2,10.2,13,1,0.4,11.1,17.2,4,0.5,4.5,0.103,1.4,-1.6,-0.2,1
2021,"RJ Barrett","barrerj01","SG",20,"NYK",72,2511,13.4,0.535,0.292,0.26,3,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-1,-0.5,-1.5,0.3
2021,"Will Barton","bartowi01","SF",30,"DEN",56,1736,11.8,0.538,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19,0.7,1.5,2.2,0.061,-0.8,-1.2,-2,0
2021,"Keita Bates-Diop","bateske01","SF",25,"SAS",30,245,12,0.518,0.254,0.313,3.8,17.7,10.6,6.6,2.2,1.7,8.4,14.8,0.1,0.3,0.3,0.068,-2.7,0.8,-2,0
2021,"Nicolas Batum","batumni01","SF",32,"LAC",67,1835,12.9,0.617,0.66,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,2.7,2.3,5,0.132,0.5,1,1.4,1.6
2021,"Aron Baynes","baynear01","C",34,"TOR",53,980,10.5,0.503,0.339,0.135,9.4,21.7,15.3,7,0.8,2.3,12.5,16.2,0.1,0.9,1,0.049,-3.5,-1.3,-4.7,-0.7
2021,"Kent Bazemore","bazemke01","SF",31,"GSW",67,1333,10.6,0.564,0.469,0.199,2.1,16,9.1,11.1,2.4,2.2,16.1,16.3,-0.2,2.1,1.8,0.065,-2.9,1.3,-1.7,0.1
2021,"Darius Bazley","bazleda01","PF",20,"OKC",55,1714,9.7,0.491,0.414,0.258,3.1,21.2,12,8.9,0.8,1.3,13.7,22.1,-2.3,1.4,-0.9,-0.026,-3.1,-1.4,-4.4,-1
2021,"Bradley Beal","bealbr01","SG",27,"WAS",60,2147,22.7,0.593,0.27,0.332,3.6,10.4,7,21.3,1.5,0.9,10.6,34.1,4.2,1.7,5.9,0.132,4.9,-1.7,3.2,2.8
2021,"Malik Beasley","beaslma01","SG",24,"MIN",37,1214,14.6,0.57,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24,0.9,0.4,1.3,0.053,1.7,-2.3,-0.6,0.4
2021,"Jordan Bell","belljo01","C",26,"TOT",6,82,8,0.328,0.091,0.091,9.1,21.9,15.5,10.6,1.7,5.2,14.9,13.6,-0.1,0.1,0,-0.008,-5.2,-0.4,-5.6,-0.1
2021,"DeAndre' Bembry","bembrde01","SF",26,"TOR",51,972,11.2,0.57,0.232,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,0.1,1.1,1.2,0.059,-3.2,1.2,-2.1,0
2021,"Davis Bertans","bertada01","PF",28,"WAS",57,1464,11.4,0.62,0.895,0.241,1.3,10.8,6.1,4.4,1,0.7,5.9,15.9,2.1,1,3.1,0.101,0.4,-1.4,-1,0.4
